"rank","model_id","display_name","organization","tier","editorial_score","primary_category","parameter_scale","image_understanding_1_5","ocr_1_5","document_understanding_1_5","grounding_boxes_points","segmentation_masks","gui_action_planning","image_generation_or_editing","video_understanding","multi_image","tool_calling","targeted_action_support","targeted_action_types","best_for","local_hardware_guidance","recommended_runtime","license_id","commercial_use","commercial_conditions","public_weights","access_gate","official_publisher_repo","downloads_hf_30d_snapshot","likes_hf_snapshot","last_modified","model_url","license_url","verification_date","caution"
"11","Qwen/Qwen3-VL-32B-Instruct","Qwen3-VL-32B-Instruct","Qwen","S","95.9","VLM כללי מתקדם","32B","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","2552423","230","2025-10-21","https://huggingface.co/Qwen/Qwen3-VL-32B-Instruct","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"12","Qwen/Qwen3-VL-30B-A3B-Thinking","Qwen3-VL-30B-A3B-Thinking","Qwen","S","95.6","VLM כללי מתקדם","30B כולל / 3B פעילים","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","67269","200","2025-11-26","https://huggingface.co/Qwen/Qwen3-VL-30B-A3B-Thinking","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"13","Qwen/Qwen3-VL-30B-A3B-Instruct","Qwen3-VL-30B-A3B-Instruct","Qwen","S","95.4","VLM כללי מתקדם","30B כולל / 3B פעילים","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","400573","591","2025-11-26","https://huggingface.co/Qwen/Qwen3-VL-30B-A3B-Instruct","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"14","Qwen/Qwen3.5-9B","Qwen3.5-9B","Qwen","S","95.1","VLM כללי מתקדם","9B","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","12–24GB VRAM; כימות 4-bit מתאים לרוב ל-8–12GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","14206979","1822","2026-03-02","https://huggingface.co/Qwen/Qwen3.5-9B","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"15","zai-org/GLM-4.6V","GLM-4.6V","zai-org","S","94.8","VLM כללי מתקדם","MoE / שרת","5","5","5","כן","חלקי","כן","לא","כן","כן","כן","ישיר","קואורדינטות, grounding, תכנון פעולות GUI ופלט מובנה","הבנה חזותית עמוקה, מסמכים, ממשקים וסוכנים מבוססי ראייה","שרת רב-GPU (בדרך כלל 160GB+ VRAM או כימות כבד)","Transformers/vLLM או runtime ייעודי של היצרן","mit","כן","מתירני; שמירת הודעת זכויות והרישיון.","כן","הורדה פתוחה","כן","8965","396","2025-12-09","https://huggingface.co/zai-org/GLM-4.6V","https://opensource.org/license/mit","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"16","zai-org/GLM-4.5V","GLM-4.5V","zai-org","A","94.6","VLM כללי מתקדם","MoE / שרת","5","5","5","כן","חלקי","כן","לא","כן","כן","כן","ישיר","קואורדינטות, grounding, תכנון פעולות GUI ופלט מובנה","הבנה חזותית עמוקה, מסמכים, ממשקים וסוכנים מבוססי ראייה","שרת רב-GPU (בדרך כלל 160GB+ VRAM או כימות כבד)","Transformers/vLLM או runtime ייעודי של היצרן","mit","כן","מתירני; שמירת הודעת זכויות והרישיון.","כן","הורדה פתוחה","כן","125697","721","2025-10-25","https://huggingface.co/zai-org/GLM-4.5V","https://opensource.org/license/mit","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"17","OpenGVLab/InternVL3_5-38B","InternVL3_5-38B","OpenGVLab","A","94.3","VLM כללי מתקדם","38B","5","5","5","כן","חלקי","חלקי","לא","כן","כן","חלקי","ישיר","קואורדינטות/תיבות, grounding, OCR ופלט מובנה","OCR, מסמכים, תרשימים, תמונות ברזולוציה גבוהה והשוואת תמונות","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","32885","45","2025-08-29","https://huggingface.co/OpenGVLab/InternVL3_5-38B","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"18","OpenGVLab/InternVL3_5-30B-A3B-Instruct","InternVL3_5-30B-A3B-Instruct","OpenGVLab","A","94","VLM כללי מתקדם","30B כולל / 3B פעילים","5","5","5","כן","חלקי","חלקי","לא","כן","כן","חלקי","ישיר","קואורדינטות/תיבות, grounding, OCR ופלט מובנה","OCR, מסמכים, תרשימים, תמונות ברזולוציה גבוהה והשוואת תמונות","תחנת עבודה 48–80GB VRAM; בכימות לעיתים 24–48GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","24500","11","2025-08-29","https://huggingface.co/OpenGVLab/InternVL3_5-30B-A3B-Instruct","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"19","OpenGVLab/InternVL3_5-14B","InternVL3_5-14B","OpenGVLab","A","93.7","VLM כללי מתקדם","14B","5","5","5","כן","חלקי","חלקי","לא","כן","כן","חלקי","ישיר","קואורדינטות/תיבות, grounding, OCR ופלט מובנה","OCR, מסמכים, תרשימים, תמונות ברזולוציה גבוהה והשוואת תמונות","24–32GB VRAM; בכימות לעיתים 16–24GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","24252","31","2025-08-29","https://huggingface.co/OpenGVLab/InternVL3_5-14B","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"20","Qwen/Qwen3-VL-8B-Thinking","Qwen3-VL-8B-Thinking","Qwen","A","93.5","VLM כללי מתקדם","8B","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","12–24GB VRAM; כימות 4-bit מתאים לרוב ל-8–12GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","98719","220","2025-11-26","https://huggingface.co/Qwen/Qwen3-VL-8B-Thinking","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"21","Qwen/Qwen3-VL-8B-Instruct","Qwen3-VL-8B-Instruct","Qwen","A","93.2","VLM כללי מתקדם","8B","5","5","5","כן","חלקי","חלקי","לא","כן","כן","כן","ישיר","קואורדינטות, תיבות, הצבעה, פלט מובנה ותכנון שימוש בכלים","הבנת תמונה כללית, מסמכים, OCR, תרשימים, וידאו וסוכנים חזותיים","12–24GB VRAM; כימות 4-bit מתאים לרוב ל-8–12GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","5033841","1047","2025-10-15","https://huggingface.co/Qwen/Qwen3-VL-8B-Instruct","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"22","openbmb/MiniCPM-V-4.6-Thinking","MiniCPM-V-4.6-Thinking","openbmb","A","92.9","VLM קומפקטי","כ-8B","5","5","4","חלקי","לא","חלקי","לא","כן","כן","חלקי","עקיף","OCR ופלט מובנה; יכול להכווין כלי חיצוני","איכות גבוהה יחסית לגודל, OCR, שימוש מקומי וניתוח וידאו","יש לבדוק את כרטיס המודל; תלוי במימוש ובכימות","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","21104","29","2026-08-03","https://huggingface.co/openbmb/MiniCPM-V-4.6-Thinking","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"23","openbmb/MiniCPM-V-4.6","MiniCPM-V-4.6","openbmb","A","92.7","VLM קומפקטי","כ-8B","5","5","4","חלקי","לא","חלקי","לא","כן","כן","חלקי","עקיף","OCR ופלט מובנה; יכול להכווין כלי חיצוני","איכות גבוהה יחסית לגודל, OCR, שימוש מקומי וניתוח וידאו","יש לבדוק את כרטיס המודל; תלוי במימוש ובכימות","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","768789","1180","2026-07-01","https://huggingface.co/openbmb/MiniCPM-V-4.6","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"24","allenai/Molmo2-8B","Molmo2-8B","allenai","A","92.4","VLM מרחבי/מצביע","8B","5","4","4","כן","חלקי","חלקי","לא","כן","כן","חלקי","ישיר","הצבעה מדויקת, נקודות, קואורדינטות ומעקב חזותי","הבנה מרחבית, pointing, איתור עצמים ואינטראקציה חזותית","12–24GB VRAM; כימות 4-bit מתאים לרוב ל-8–12GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","198930","191","2026-01-23","https://huggingface.co/allenai/Molmo2-8B","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"25","allenai/Molmo2-O-7B","Molmo2-O-7B","allenai","A","92.1","VLM מרחבי/מצביע","7B","5","4","4","כן","חלקי","חלקי","לא","כן","כן","חלקי","ישיר","הצבעה מדויקת, נקודות, קואורדינטות ומעקב חזותי","הבנה מרחבית, pointing, איתור עצמים ואינטראקציה חזותית","12–24GB VRAM; כימות 4-bit מתאים לרוב ל-8–12GB","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","150687","26","2026-01-23","https://huggingface.co/allenai/Molmo2-O-7B","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"26","moonshotai/Kimi-VL-A3B-Thinking","Kimi-VL-A3B-Thinking","moonshotai","A","91.9","VLM כללי/MoE","MoE, 3B פעילים","5","5","5","כן","חלקי","חלקי","לא","כן","כן","חלקי","ישיר","grounding, קואורדינטות, reasoning חזותי ופלט מובנה","reasoning חזותי, מסמכים, תמונות מורכבות והקשר ארוך","8–12GB VRAM או Apple Silicon; כימות מאפשר פחות","Transformers/vLLM או runtime ייעודי של היצרן","mit","כן","מתירני; שמירת הודעת זכויות והרישיון.","כן","הורדה פתוחה","כן","149837","449","2026-01-30","https://huggingface.co/moonshotai/Kimi-VL-A3B-Thinking","https://opensource.org/license/mit","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"27","moonshotai/Kimi-VL-A3B-Instruct","Kimi-VL-A3B-Instruct","moonshotai","A","91.6","VLM כללי/MoE","MoE, 3B פעילים","5","5","5","כן","חלקי","חלקי","לא","כן","כן","חלקי","ישיר","grounding, קואורדינטות, reasoning חזותי ופלט מובנה","reasoning חזותי, מסמכים, תמונות מורכבות והקשר ארוך","8–12GB VRAM או Apple Silicon; כימות מאפשר פחות","Transformers/vLLM או runtime ייעודי של היצרן","mit","כן","מתירני; שמירת הודעת זכויות והרישיון.","כן","הורדה פתוחה","כן","489486","278","2026-01-30","https://huggingface.co/moonshotai/Kimi-VL-A3B-Instruct","https://opensource.org/license/mit","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"28","meta-llama/Llama-3.2-90B-Vision-Instruct","Llama-3.2-90B-Vision-Instruct","meta-llama","A","91.3","VLM כללי","90B","4","3","3","חלקי","לא","חלקי","לא","לא","כן","כן","עקיף","תכנון והכוונת כלי; אין פלט מסכה מובנה","שיחה חזותית כללית ואינטגרציה באקוסיסטם Llama","שרת רב-GPU (בדרך כלל 160GB+ VRAM או כימות כבד)","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","llama3.2","כן, מותנה","כפוף לרישיון Llama 3.2; תנאים, ייחוס ומדיניות שימוש מקובל של Meta.","כן","נדרש אישור תנאים/גישה","כן","121077","359","2025-03-04","https://huggingface.co/meta-llama/Llama-3.2-90B-Vision-Instruct","https://www.llama.com/llama3_2/license/","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"29","google/gemma-3-27b-it","gemma-3-27b-it","google","A","91","VLM כללי","27B","5","4","4","חלקי","לא","חלקי","לא","חלקי","כן","חלקי","עקיף","ניתוח, פלט מובנה והכוונת כלי חיצוני; לא משנה פיקסלים לבדו","הבנת תמונות, שאלות חזותיות, מסמכים ושילוב טוב במערכות מקומיות","יש לבדוק את כרטיס המודל; תלוי במימוש ובכימות","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","gemma","כן, מותנה","שימוש מסחרי מותר בכפוף לתנאי Gemma ולמדיניות השימוש האסור.","כן","נדרש אישור תנאים/גישה","כן","767801","2006","2025-03-21","https://huggingface.co/google/gemma-3-27b-it","https://ai.google.dev/gemma/terms","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
"30","mistral-experimental/pixtral-12b","pixtral-12b","mistral-experimental","A","90.8","VLM כללי","12B","5","4","4","חלקי","לא","חלקי","לא","לא","כן","כן","עקיף","פלט מובנה ותכנון שימוש בכלים","מספר תמונות, מסמכים, שיחה חזותית ואינטגרציה סוכנית","יש לבדוק את כרטיס המודל; תלוי במימוש ובכימות","Transformers או vLLM; בדוק GGUF/Ollama/llama.cpp לגרסה תואמת","apache-2.0","כן","מתירני; שמירת הודעות זכויות ורישיון.","כן","הורדה פתוחה","כן","188403","106","2025-01-27","https://huggingface.co/mistral-experimental/pixtral-12b","https://www.apache.org/licenses/LICENSE-2.0","2026-08-16","הדירוג מערכתי-מערכתי ואינו תחליף לבדיקת משימות; יש לקרוא את כרטיס המודל והרישיון לפני הפצה מסחרית."
